Time,RXbytes,RXpackets,TXbytes,TXpackets
Wed Jul 24 11:01:01 EEST 2019,41754760431,70025639,411334696721,305638056
Wed Jul 24 12:01:01 EEST 2019,42018205143,70841734,423513568955,314100193
Wed Jul 24 13:01:01 EEST 2019,42348379229,71899842,435325759018,322500480
Wed Jul 24 14:01:01 EEST 2019,42559520133,72706893,446312593637,330163291
Wed Jul 24 15:01:01 EEST 2019,42710674331,73377098,457200746549,337654593
Wed Jul 24 16:01:01 EEST 2019,42999723349,74379712,469230989073,346129626
Wed Jul 24 17:01:02 EEST 2019,43350570141,75475482,481373750368,354708767
Wed Jul 24 18:01:01 EEST 2019,43559829527,76360673,493308126948,363061579
Wed Jul 24 19:01:01 EEST 2019,43722795362,77082075,504492471038,370778730
Wed Jul 24 20:01:01 EEST 2019,43867238402,77745574,515991432507,378668776
Wed Jul 24 21:01:01 EEST 2019,44199715033,78511038,526093801103,385652330
Wed Jul 24 22:01:01 EEST 2019,44300589929,79084345,537740188142,393594817
Wed Jul 24 23:01:01 EEST 2019,44443866692,79680704,546775947078,399837296
Thu Jul 25 00:01:01 EEST 2019,44567328105,80235429,558864951014,408009497
Thu Jul 25 01:01:01 EEST 2019,44645720482,80685577,569839188752,415377531
Thu Jul 25 02:01:01 EEST 2019,44719559697,81157556,581935335036,423484318
Thu Jul 25 03:01:01 EEST 2019,44789745219,81627261,594061465789,431609171
Thu Jul 25 04:01:01 EEST 2019,44861056325,82065404,606205103516,439746567
Thu Jul 25 05:01:01 EEST 2019,44930909935,82532773,618324615223,447865956
Thu Jul 25 06:01:01 EEST 2019,45000029415,82990428,630415197752,455962618
Thu Jul 25 07:01:01 EEST 2019,45073366591,83451218,642434071375,464014711
Thu Jul 25 08:01:01 EEST 2019,45157646137,83946672,654473041946,472100571
Thu Jul 25 09:01:01 EEST 2019,45911446347,84994220,667162842548,480735379
Thu Jul 25 10:01:01 EEST 2019,46171051323,85686502,679162029209,488895759
Thu Jul 25 11:01:01 EEST 2019,46635852628,86542400,691049968368,497008152
Thu Jul 25 12:01:01 EEST 2019,46826725940,87232363,702987225084,505164936
Thu Jul 25 13:01:01 EEST 2019,47026274790,87966507,714351854080,512950426
Thu Jul 25 14:01:01 EEST 2019,47154798650,88555756,725993587179,520830071
Thu Jul 25 15:01:01 EEST 2019,47259174086,89087885,737723219261,528722221
Thu Jul 25 16:01:01 EEST 2019,47313147947,89505705,749336762777,536482846
Thu Jul 25 17:01:01 EEST 2019,47992914926,90382844,760566851557,544051037
Thu Jul 25 18:01:01 EEST 2019,48060173955,90848164,771456567708,551389874
Thu Jul 25 19:01:01 EEST 2019,48122447114,91309795,782505474692,558837919
Thu Jul 25 20:01:01 EEST 2019,48182372018,91769543,794197523274,566682219
Thu Jul 25 21:01:01 EEST 2019,48238416119,92186959,804645371359,573697382
Thu Jul 25 22:01:01 EEST 2019,48286352960,92559357,814485694090,580289319
Thu Jul 25 23:01:01 EEST 2019,48339638663,92987670,826210941327,588124925
Fri Jul 26 00:01:01 EEST 2019,48395286990,93417442,838119752172,596078212
Fri Jul 26 01:01:01 EEST 2019,48441840445,93811481,849776733733,603846520
Fri Jul 26 02:01:01 EEST 2019,48489001185,94214916,861628480175,611742167
Fri Jul 26 03:01:01 EEST 2019,48536194150,94619140,873537368425,619675864
Fri Jul 26 04:01:01 EEST 2019,48581423977,94992433,884327433519,626871934
Fri Jul 26 05:01:01 EEST 2019,48629010313,95398142,896244339926,634812166
Fri Jul 26 06:01:01 EEST 2019,48676294992,95803096,908171930985,642757348
Fri Jul 26 07:01:01 EEST 2019,48725649648,96203796,920026496550,650657582
Fri Jul 26 08:01:01 EEST 2019,48774786278,96611205,932123506664,658718285
Fri Jul 26 09:01:01 EEST 2019,48899059514,97048939,943805282605,666507749
Fri Jul 26 10:01:01 EEST 2019,48946941390,97448680,955576626568,674352676
Fri Jul 26 11:01:01 EEST 2019,48994847715,97848131,967097078807,682033333
Fri Jul 26 12:01:01 EEST 2019,49147173220,98473739,978886157200,690065459
Fri Jul 26 13:01:01 EEST 2019,49503935353,99443925,990987102298,698525086
